t,x,y,vx,vy,pitch,roll,engine_out
0.20,4.00,10.02,20.00,0.20,0.0022,0.0096,0
0.40,8.00,10.09,20.00,0.40,0.0053,0.0084,0
0.60,12.00,10.21,20.00,0.59,0.0094,0.0101,0
0.80,16.00,10.40,20.00,0.78,0.0118,0.0022,0
1.00,20.00,10.63,20.00,0.96,0.0168,0.0223,0
1.20,24.00,10.91,20.00,1.13,0.0211,0.0189,0
1.40,28.00,11.25,20.00,1.29,0.0195,0.0117,0
1.60,32.00,11.62,20.00,1.43,0.0267,0.0298,0
1.80,36.00,12.04,20.00,1.57,0.0244,0.0289,0
2.00,40.00,12.50,20.00,1.68,0.0241,0.0340,0
2.20,44.00,12.99,20.00,1.78,0.0251,0.0307,0
2.40,48.00,13.51,20.00,1.86,0.0269,0.0334,0
2.60,52.00,14.05,20.00,1.93,0.0320,0.0298,0
2.80,56.00,14.62,20.00,1.97,0.0297,0.0352,0
3.00,60.00,15.20,20.00,1.99,0.0269,0.0472,0
3.20,64.00,15.79,20.00,2.00,0.0280,0.0451,0
3.40,68.00,16.39,20.00,1.98,0.0293,0.0360,0
3.60,72.00,16.98,20.00,1.95,0.0292,0.0397,0
3.80,76.00,17.57,20.00,1.89,0.0201,0.0536,0
4.00,80.00,18.15,20.00,1.82,0.0235,0.0399,0
4.20,84.00,18.71,20.00,1.73,0.0168,0.0568,0
4.40,88.00,19.25,20.00,1.62,0.0155,0.0393,0
4.60,92.00,19.77,20.00,1.49,0.0151,0.0421,0
4.80,96.00,20.26,20.00,1.35,0.0077,0.0455,0
5.00,100.00,20.71,20.00,1.20,0.0066,0.0566,0
5.20,104.00,21.12,20.00,1.03,0.0021,0.0466,0
5.40,108.00,21.49,20.00,0.85,0.0004,0.0517,0
5.60,112.00,21.82,20.00,0.67,-0.0113,0.0518,0
5.80,116.00,22.10,20.00,0.48,-0.0149,0.0508,0
6.00,120.00,22.33,20.00,0.28,-0.0138,0.0579,0
6.20,124.00,22.51,20.00,0.08,-0.0174,0.0535,0
6.40,128.00,22.64,20.00,-0.12,-0.0219,0.0567,0
6.60,132.00,22.71,20.00,-0.32,-0.0230,0.0516,0
6.80,136.00,22.73,20.00,-0.51,-0.0237,0.0504,0
7.00,140.00,22.70,20.00,-0.70,-0.0287,0.0349,0
7.20,144.00,22.61,20.00,-0.89,-0.0307,0.0369,0
7.40,148.00,22.47,20.00,-1.06,-0.0307,0.0307,0
7.60,152.00,22.27,20.00,-1.22,-0.0255,0.0461,0
7.80,156.00,22.03,20.00,-1.38,-0.0303,0.0455,0
8.00,160.00,21.75,20.00,-1.51,-0.0311,0.0352,0
8.20,164.00,21.42,20.00,-1.64,-0.0297,0.0411,0
8.40,168.00,21.05,20.00,-1.74,-0.0273,0.0384,0
8.60,172.00,20.64,20.00,-1.83,-0.0283,0.0177,0
